arm,global_step,acceptance_step,reward_mean,zero_fraction,resp_len_mean,resp_len_median,tool_calls_mean,timeout_fraction,n_samples
production,33,33,0.69140625,0.30859375,7265.2890625,5856.5,15.79296875,0.1328125,256
production,34,34,0.65625,0.34375,14706.12109375,10793.0,27.73828125,0.07421875,256
production,35,35,0.91796875,0.08203125,12529.74609375,11186.0,27.640625,0.02734375,256
production,36,36,0.54296875,0.45703125,21242.91796875,19128.5,35.18359375,0.1015625,256
production,37,37,0.734375,0.265625,9832.546875,7065.5,25.00390625,0.109375,256
production,38,38,0.41015625,0.58984375,17605.3125,13006.5,27.0078125,0.24609375,256
production,39,39,0.73046875,0.26953125,15598.6484375,13848.0,26.6328125,0.12109375,256
production,40,40,0.73046875,0.26953125,17428.5234375,13043.5,27.90234375,0.125,256
production,41,41,0.765625,0.234375,12114.89453125,11279.5,23.8671875,0.05859375,256
production,42,42,0.65625,0.34375,14775.23046875,10075.5,30.13671875,0.14453125,256
production,43,43,0.7265625,0.2734375,14153.234375,10033.5,26.37109375,0.0390625,256
production,44,44,0.46484375,0.53515625,17458.6796875,15657.5,31.625,0.11328125,256
production,45,45,0.87109375,0.12890625,10146.09765625,6652.0,22.06640625,0.03515625,256
production,46,46,0.67578125,0.32421875,12512.9765625,11692.0,26.1171875,0.09375,256
production,47,47,0.71484375,0.28515625,20898.48046875,18203.0,35.6328125,0.0234375,256
production,48,48,0.52734375,0.47265625,17338.5703125,17360.0,32,0.10546875,256
production,49,49,0.80859375,0.19140625,10278.5,6260.0,22.62890625,0.09375,256
production,50,50,0.56640625,0.43359375,17170.0234375,13304.0,29.8828125,0.1796875,256
production,51,51,0.6875,0.3125,10813.0625,8653.5,21.42578125,0.17578125,256
production,52,52,0.75,0.25,8499.30859375,7499.0,19.4375,0.125,256
production,53,53,0.453125,0.546875,9818.3515625,6376.0,17.52734375,0.26171875,256
production,54,54,0.73046875,0.26953125,14202.421875,12579.0,24.18359375,0.1015625,256
production,55,55,0.66796875,0.33203125,12853.94140625,10574.5,27.98046875,0.05859375,256
production,56,56,0.4921875,0.5078125,17248.81640625,14416.0,30.078125,0.12890625,256
production,57,57,0.52734375,0.47265625,17464.45703125,16026.0,32.421875,0.11328125,256
production,58,58,0.578125,0.421875,18012.6640625,14847.5,25.4140625,0.13671875,256
production,59,59,0.4140625,0.5859375,18822.84765625,15141.0,36.8203125,0.328125,256
production,60,60,0.48046875,0.51953125,15393.2109375,13843.5,25.76953125,0.1875,256
production,61,61,0.62890625,0.37109375,12261.48046875,7610.0,22.921875,0.23828125,256
production,62,62,0.6953125,0.3046875,14315.76171875,9780.5,23.64453125,0.17578125,256
production,63,63,0.734375,0.265625,10186.52734375,7482.0,25.39453125,0.1015625,256
production,64,64,0.65625,0.34375,12300.74609375,11288.0,25.8125,0.08984375,256
production,65,65,0.35546875,0.64453125,12802.27734375,9200.0,29.46875,0.2265625,256
production,66,66,0.73828125,0.26171875,9959.9375,7602.0,18.1640625,0.0390625,256
production,67,67,0.60546875,0.39453125,13248.265625,11343.5,24.6953125,0.0234375,256
production,68,68,0.67578125,0.32421875,16994.38671875,13980.5,26.7734375,0.19140625,256
production,69,69,0.6484375,0.3515625,11283.93359375,11035.0,23.4453125,0.13671875,256
production,70,70,0.71484375,0.28515625,14867.82421875,9330.5,24.16796875,0.1484375,256
production,71,71,0.37890625,0.62109375,15089.859375,13317.0,26.4765625,0.13671875,256
production,72,72,0.74609375,0.25390625,13062.63671875,12119.0,22.46875,0.109375,256
production,73,73,0.65625,0.34375,16215.55078125,12031.5,23.078125,0.10546875,256
production,74,74,0.6484375,0.3515625,12902.08984375,9601.0,25.796875,0.0546875,256
production,75,75,0.70703125,0.29296875,12332.4296875,10757.5,26.09765625,0.01953125,256
production,76,76,0.58984375,0.41015625,13723.36328125,12936.0,26.23046875,0.05859375,256
production,77,77,0.72265625,0.27734375,14513.75,10983.0,26.66796875,0.16015625,256
production,78,78,0.73046875,0.26953125,16466.92578125,10915.0,29.31640625,0.01953125,256
production,79,79,0.69921875,0.30078125,13362.265625,10653.5,25.23046875,0.03125,256
production,80,80,0.39453125,0.60546875,15325.3828125,13254.5,26.265625,0.16015625,256
production,81,81,0.55078125,0.44921875,11579.05078125,7946.5,24.2734375,0.1484375,256
production,82,82,0.66015625,0.33984375,12979.64453125,6909.5,20.2421875,0.24609375,256
production,83,83,0.6953125,0.3046875,14745.6640625,11214.5,20.52734375,0.26953125,256
production,84,84,0.63671875,0.36328125,10915.92578125,10122.5,18.765625,0.0703125,256
production,85,85,0.6953125,0.3046875,13388.4140625,11864.5,21.48046875,0.04296875,256
production,86,86,0.7421875,0.2578125,11501.76171875,10442.5,23.6875,0.0625,256
production,87,87,0.6171875,0.3828125,16591.12890625,15093.0,24.22265625,0.03125,256
production,88,88,0.52734375,0.47265625,14617.05078125,11721.5,24.4140625,0.0234375,256
production,89,89,0.61328125,0.38671875,22419.03125,22962.0,32.16015625,0.12890625,256
production,90,90,0.7265625,0.2734375,19074.2421875,15873.5,25.2421875,0.12109375,256
production,91,91,0.765625,0.234375,15221.8203125,13260.5,25.5234375,0.10546875,256
production,92,92,0.578125,0.421875,17612.2578125,16845.0,30.5703125,0.05078125,256
production,93,93,0.79296875,0.20703125,13173.4453125,11959.5,21.31640625,0.0703125,256
production,94,94,0.76171875,0.23828125,12011.6328125,10906.5,19.65234375,0.00390625,256
production,95,95,0.57421875,0.42578125,15744.0625,15882.0,26.69921875,0.01953125,256
production,96,96,0.64453125,0.35546875,18041.41796875,15590.5,26.6171875,0.015625,256
production,97,97,0.6875,0.3125,14058.6015625,12635.5,21.31640625,0.02734375,256
production,98,98,0.5703125,0.4296875,18135.2578125,16419.0,28.54296875,0.08984375,256
production,99,99,0.8203125,0.1796875,16251.3359375,12126.0,25.0546875,0.015625,256
production,100,100,0.59375,0.40625,20266.4609375,19371.0,29.23828125,0.125,256
production,101,101,0.71484375,0.28515625,17383.16015625,13640.0,24.4609375,0.08203125,256
production,102,102,0.55078125,0.44921875,14863.03125,11867.5,21.2734375,0.05078125,256
production,103,103,0.76953125,0.23046875,16809.44140625,11329.0,26.53125,0.078125,256
production,104,104,0.61328125,0.38671875,14342.5546875,13561.5,22.0234375,0.078125,256
production,105,105,0.68359375,0.31640625,15947.9140625,15360.0,27.70703125,0.03515625,256
production,106,106,0.765625,0.234375,13586.46484375,9503.5,18.140625,0.02734375,256
production,107,107,0.73828125,0.26171875,16955.13671875,16594.0,27.8671875,0.03125,256
production,108,108,0.70703125,0.29296875,17048.625,16285.5,27.4765625,0.05078125,256
production,109,109,0.828125,0.171875,14381.9296875,8524.5,19.98828125,0.078125,256
production,110,110,0.60546875,0.39453125,16497.69921875,12370.5,28.890625,0.16015625,256
production,111,111,0.5078125,0.4921875,22125.94921875,20143.5,27.5,0.21484375,256
production,112,112,0.6953125,0.3046875,18451.9453125,17049.0,25.921875,0.09765625,256
production,113,113,0.5703125,0.4296875,20763.06640625,15173.5,29.42578125,0.3671875,256
production,114,114,0.7578125,0.2421875,17754.3046875,16146.5,23.73046875,0.10546875,256
production,115,115,0.52734375,0.47265625,20068.08203125,15162.0,29.3828125,0.3046875,256
production,116,116,0.65234375,0.34765625,23993.640625,23668.5,30.35546875,0.18359375,256
production,117,117,0.55078125,0.44921875,18799.98046875,17836.0,26.5703125,0.1640625,256
production,118,118,0.70703125,0.29296875,18886.59765625,18245.5,30.06640625,0.03515625,256
production,119,119,0.69140625,0.30859375,16255.86328125,12670.0,23.66015625,0.0625,256
production,120,120,0.58984375,0.41015625,19882.5078125,15802.0,26.46484375,0.0625,256
production,121,121,0.4296875,0.5703125,20411.453125,19691.0,27.4453125,0.2265625,256
production,122,122,0.59375,0.40625,22895.34375,22349.0,38.26953125,0.09765625,256
production,123,123,0.6328125,0.3671875,15027.0546875,11352.0,17.84765625,0.171875,256
production,124,124,0.75,0.25,13425.8984375,11328.5,19.15234375,0.046875,256
production,125,125,0.796875,0.203125,20416.6640625,18982.0,27.36328125,0.02734375,256
production,126,126,0.66796875,0.33203125,19286.6484375,16769.5,24.71875,0.12109375,256
production,127,127,0.58984375,0.41015625,17050.1484375,16134.5,26.19140625,0.09765625,256
production,128,128,0.64453125,0.35546875,14889.17578125,11938.5,21.84765625,0.11328125,256
production,129,129,0.7734375,0.2265625,19630.03125,17879.0,30.31640625,0.0703125,256
production,130,130,0.62890625,0.37109375,22661.765625,21007.5,36.07421875,0.01953125,256
production,131,131,0.578125,0.421875,20414.234375,20681.0,23.59765625,0.01953125,256
production,132,132,0.546875,0.453125,23532.109375,20577.0,33.57421875,0.13671875,256
production,133,133,0.6484375,0.3515625,15456.98046875,13842.0,22.6796875,0.0703125,256
production,134,134,0.88671875,0.11328125,10886.69140625,10321.5,22.11328125,0.00390625,256
production,135,135,0.65625,0.34375,12450.171875,11451.0,18.00390625,0.00390625,256
production,136,136,0.765625,0.234375,15491.6171875,13975.5,23.875,0.03125,256
production,137,137,0.734375,0.265625,11605.90625,11194.0,17.78125,0.0078125,256
production,138,138,0.64453125,0.35546875,16698.40234375,14367.0,20.50390625,0.0546875,256
production,139,139,0.65234375,0.34765625,15905.4453125,12328.0,20.81640625,0.0546875,256
production,140,140,0.703125,0.296875,14007.41796875,10773.0,19.67578125,0.01953125,256
production,141,141,0.69140625,0.30859375,19976.98046875,20810.0,24.609375,0.1171875,256
production,142,142,0.640625,0.359375,17532.16015625,17362.0,24.94140625,0.0625,256
production,143,143,0.63671875,0.36328125,19996.11328125,18089.5,16.9453125,0.06640625,256
production,144,144,0.73046875,0.26953125,13936.44921875,13020.5,17.0390625,0.03125,256
production,145,145,0.640625,0.359375,19517.7734375,18151.0,26.59375,0.07421875,256
production,146,146,0.66015625,0.33984375,18807.15625,16907.0,25.484375,0.05078125,256
production,147,147,0.65625,0.34375,15077.8515625,13830.0,23.0546875,0.11328125,256
production,148,148,0.5234375,0.4765625,14038.57421875,11289.0,22.33203125,0.1015625,256
production,149,149,0.421875,0.578125,14507.90234375,11037.0,19.51171875,0.13671875,256
production,150,150,0.87109375,0.12890625,13196.75,13029.0,20.46875,0.01171875,256
production,151,151,0.58203125,0.41796875,19329.6484375,16813.5,24.1953125,0.16015625,256
production,152,152,0.62109375,0.37890625,23000.3515625,21121.0,24.4609375,0.125,256
production,153,153,0.62890625,0.37109375,22385.984375,20991.0,25.4453125,0.08203125,256
production,154,154,0.81640625,0.18359375,15789.05859375,14144.0,22.7578125,0.03125,256
production,155,155,0.59375,0.40625,15562.46484375,13656.5,21.89453125,0.14453125,256
production,156,156,0.59375,0.40625,20539.4296875,19364.0,27.14453125,0.12890625,256
production,157,157,0.59375,0.40625,22783.23046875,20265.0,24.1328125,0.19140625,256
production,158,158,0.83203125,0.16796875,14172.140625,10939.0,18.6328125,0.15234375,256
production,159,159,0.76171875,0.23828125,21166.64453125,19220.0,25.38671875,0.0546875,256
production,160,160,0.73828125,0.26171875,22708.359375,22212.0,27.59765625,0.12109375,256
production,161,161,0.58203125,0.41796875,18653.20703125,16031.0,25.00390625,0.09765625,256
production,162,162,0.60546875,0.39453125,21507.2578125,21637.0,22.5703125,0.0546875,256
production,163,163,0.640625,0.359375,19138.703125,18058.5,24.98828125,0.125,256
production,164,164,0.6484375,0.3515625,21376.2734375,19562.0,25.00390625,0.1875,256
production,165,165,0.671875,0.328125,16753.18359375,15805.5,25.046875,0.03515625,256
production,166,166,0.55078125,0.44921875,21642.09375,19042.0,27.1640625,0.09765625,256
production,167,167,0.33984375,0.66015625,20976.20703125,19493.5,24.4921875,0.29296875,256
production,168,168,0.8515625,0.1484375,15973.6484375,14952.0,21.86328125,0.00390625,256
production,169,169,0.55859375,0.44140625,19465.16796875,18048.0,31.84375,0.15625,256
production,170,170,0.80859375,0.19140625,15382.46484375,14747.0,20.0703125,0.046875,256
production,171,171,0.5390625,0.4609375,20846,19018.5,26.2578125,0.05078125,256
production,172,172,0.67578125,0.32421875,18747.4140625,15632.0,23.2109375,0.125,256
production,173,173,0.8125,0.1875,21656.64453125,17966.5,22.92578125,0.08203125,256
production,174,174,0.66796875,0.33203125,16555.0625,9960.5,22.453125,0.24609375,256
production,175,175,0.80859375,0.19140625,21443.3046875,20145.5,29.7109375,0.08203125,256
production,176,176,0.62890625,0.37109375,23108.765625,22993.0,34.58984375,0.1953125,256
production,177,177,0.58984375,0.41015625,18279.54296875,16770.0,24.8203125,0.14453125,256
production,178,178,0.68359375,0.31640625,21161.3828125,20610.5,24.81640625,0.16796875,256
production,179,179,0.625,0.375,18178.37890625,15906.5,25.078125,0.09765625,256
production,180,180,0.65625,0.34375,20722.01953125,19014.5,28.42578125,0.078125,256
production,181,181,0.61328125,0.38671875,15591.73828125,14109.5,26.9453125,0.08984375,256
production,182,182,0.48046875,0.51953125,17973.6953125,14983.5,24.09765625,0.1640625,256
production,183,183,0.5859375,0.4140625,18298.2890625,14964.5,25.9765625,0.2578125,256
production,184,184,0.58984375,0.41015625,16277.0078125,14020.0,27.07421875,0.02734375,256
production,185,185,0.6328125,0.3671875,19357.60546875,17930.5,27.515625,0.078125,256
production,186,186,0.5625,0.4375,16757.8828125,15279.0,23.76171875,0.1484375,256
production,187,187,0.58203125,0.41796875,17655.93359375,14265.0,22.26953125,0.12890625,256
production,188,188,0.8125,0.1875,16925.12890625,16767.5,26.40625,0.01953125,256
production,189,189,0.7734375,0.2265625,17286.52734375,15339.0,26.26171875,0.03515625,256
production,190,190,0.4921875,0.5078125,16313.9921875,13631.5,24.54296875,0.12890625,256
production,191,191,0.4453125,0.5546875,25562.9765625,25839.0,30.85546875,0.3203125,256
production,192,192,0.79296875,0.20703125,14374.19921875,13026.0,23.1484375,0.0234375,256
production,193,193,0.4453125,0.5546875,19258.63671875,18149.5,27.37890625,0.0703125,256
production,194,194,0.6875,0.3125,18601.63671875,16966.5,24.82421875,0.13671875,256
production,195,195,0.72265625,0.27734375,20337.2890625,20603.0,24.70703125,0.0234375,256
production,196,196,0.65234375,0.34765625,19774.15625,20042.5,30.26171875,0.07421875,256
production,197,197,0.60546875,0.39453125,19855.08203125,17600.0,24.65234375,0.1171875,256
production,198,198,0.7109375,0.2890625,20714.05859375,20625.5,22.30078125,0.04296875,256
production,199,199,0.61328125,0.38671875,18433.7109375,18401.5,28.921875,0.0859375,256
production,200,200,0.4921875,0.5078125,19598.703125,18103.0,26.46484375,0.078125,256
control,1,1,0.63671875,0.36328125,8882.98046875,6735.0,17.35546875,0.12109375,256
control,2,2,0.58984375,0.41015625,14617.0703125,10977.0,35.46875,0.03125,256
control,3,3,0.515625,0.484375,13355.35546875,9221.0,29.3125,0.19921875,256
control,4,4,0.5859375,0.4140625,10785.85546875,7350.5,22.78125,0.234375,256
control,5,5,0.59765625,0.40234375,8659.25390625,6393.0,22.73828125,0.0,256
control,6,6,0.81640625,0.18359375,9059.62109375,6475.0,24.1796875,0.00390625,256
control,7,7,0.7265625,0.2734375,14425.84375,8833.5,24.95703125,0.09765625,256
control,8,8,0.51171875,0.48828125,13074.40234375,8759.5,31.36328125,0.12890625,256
control,9,9,0.484375,0.515625,17453.0625,13116.0,34.08984375,0.24609375,256
control,10,10,0.4765625,0.5234375,16905.35546875,11830.0,33.51171875,0.1875,256
control,11,11,0.7109375,0.2890625,10464.0546875,6435.5,24.16796875,0.1171875,256
control,12,12,0.625,0.375,11652.12109375,8200.0,27.80078125,0.11328125,256
control,13,13,0.48046875,0.51953125,17688.28515625,13595.5,37.0234375,0.0703125,256
control,14,14,0.74609375,0.25390625,8247.73046875,7115.5,20.3671875,0.0546875,256
control,15,15,0.45703125,0.54296875,12098.46875,9025.5,32.25390625,0.01953125,256
control,16,16,0.77734375,0.22265625,14050.94140625,10688.5,24.25,0.03515625,256
control,17,17,0.703125,0.296875,15769.8984375,13919.0,32.94140625,0.0234375,256
control,18,18,0.7734375,0.2265625,10665.4609375,8657.0,23.2734375,0.046875,256
control,19,19,0.50390625,0.49609375,14346.42578125,10988.5,30.88671875,0.1875,256
control,20,20,0.48828125,0.51171875,20685.04296875,15633.5,35.67578125,0.26171875,256
control,21,21,0.578125,0.421875,12786.140625,9806.5,29.41015625,0.2265625,256
control,22,22,0.765625,0.234375,9545.2578125,7643.0,22.890625,0.1015625,256
control,23,23,0.5078125,0.4921875,14086.96875,11742.5,34.18359375,0.09765625,256
control,24,24,0.49609375,0.50390625,14347.19140625,14396.5,37.70703125,0.09375,256
control,25,25,0.62890625,0.37109375,16417.5078125,14431.5,32.28125,0.0546875,256
control,26,26,0.78125,0.21875,14424.21875,9511.0,24.6796875,0.05078125,256
control,27,27,0.74609375,0.25390625,14783.4375,9297.5,23.94921875,0.015625,256
control,28,28,0.58203125,0.41796875,18740.29296875,15319.5,34.89453125,0.03125,256
control,29,29,0.57421875,0.42578125,16969.62890625,15032.5,30.9296875,0.12890625,256
control,30,30,0.51953125,0.48046875,20964.7734375,15492.0,30.91015625,0.23046875,256
control,31,31,0.62109375,0.37890625,13201.10546875,9887.0,28.140625,0.140625,256
control,32,32,0.5703125,0.4296875,13732.1484375,7517.0,21.19140625,0.26953125,256
control,33,33,0.5390625,0.4609375,11611.14453125,8418.0,27.8125,0.24609375,256
control,34,34,0.56640625,0.43359375,13707.234375,9186.5,27.5859375,0.2109375,256
control,35,35,0.73046875,0.26953125,9910.70703125,8250.0,20.8203125,0.109375,256
control,36,36,0.78515625,0.21484375,13002.29296875,10520.5,29.74609375,0.03515625,256
control,37,37,0.5546875,0.4453125,20361.1015625,14458.5,33.0390625,0.2109375,256
control,38,38,0.61328125,0.38671875,18419.75,13996.0,30.484375,0.09765625,256
control,39,39,0.7890625,0.2109375,11675.03125,9446.5,23.44921875,0.0703125,256
control,40,40,0.625,0.375,20391.28125,15924.0,35.375,0.12109375,256
control,41,41,0.76171875,0.23828125,18571.39453125,12444.0,27.37890625,0.12109375,256
control,42,42,0.59765625,0.40234375,18667.20703125,16268.0,37.83984375,0.125,256
control,43,43,0.56640625,0.43359375,17177.59765625,13564.0,29.9765625,0.19140625,256
control,44,44,0.8203125,0.1796875,11147.140625,7385.0,19.58984375,0.05078125,256
control,45,45,0.765625,0.234375,11383.6875,10131.5,32.3359375,0.03125,256
control,46,46,0.6640625,0.3359375,17953.7578125,15814.5,32.59375,0.09765625,256
control,47,47,0.703125,0.296875,9257.578125,7052.5,28.8046875,0.07421875,256
control,48,48,0.78515625,0.21484375,14105.546875,8763.5,30.41015625,0.046875,256
control,49,49,0.7265625,0.2734375,13520.796875,7943.5,28.83203125,0.08203125,256
control,50,50,0.609375,0.390625,19795.421875,13993.0,28.703125,0.17578125,256
control,51,51,0.53515625,0.46484375,12433.66015625,11613.5,29.68359375,0.11328125,256
control,52,52,0.71875,0.28125,16938.4296875,11116.0,29.5078125,0.1171875,256
control,53,53,0.58203125,0.41796875,12155.93359375,8732.0,25.09765625,0.23046875,256
control,54,54,0.54296875,0.45703125,10553.5,7685.5,17.8125,0.24609375,256
control,55,55,0.56640625,0.43359375,16430.515625,13559.0,29.078125,0.1796875,256
control,56,56,0.6015625,0.3984375,14410.234375,12089.0,30.30078125,0.078125,256
control,57,57,0.65234375,0.34765625,12618.69140625,9655.5,27.5390625,0.20703125,256
control,58,58,0.609375,0.390625,19068.9375,14013.5,29.33203125,0.1875,256
control,59,59,0.6796875,0.3203125,20830.49609375,16601.0,27.95703125,0.18359375,256
control,60,60,0.5625,0.4375,17248.64453125,13247.0,29.2265625,0.11328125,256
control,61,61,0.46484375,0.53515625,21319.6796875,20434.5,37.41015625,0.125,256
control,62,62,0.5390625,0.4609375,12638.0625,8295.0,24.58203125,0.28125,256
control,63,63,0.61328125,0.38671875,16805.3984375,12280.5,31.3984375,0.1875,256
control,64,64,0.59765625,0.40234375,14651.46484375,12794.0,30.99609375,0.11328125,256
control,65,65,0.5,0.5,11078.55078125,9182.0,30.22265625,0.2109375,256
control,66,66,0.45703125,0.54296875,15598.72265625,13595.5,27.87109375,0.23828125,256
control,67,67,0.625,0.375,15307.25,9517.5,26.359375,0.16015625,256
control,68,68,0.7265625,0.2734375,12092.6328125,7986.0,24.5,0.08984375,256
control,69,69,0.4921875,0.5078125,20513.11328125,18865.5,36.9140625,0.27734375,256
control,70,70,0.5390625,0.4609375,17520.2734375,15401.0,28.37890625,0.09375,256
control,71,71,0.765625,0.234375,8319.21875,7207.5,17.9765625,0.01171875,256
control,72,72,0.6953125,0.3046875,17409.16015625,16412.5,32.76171875,0.046875,256
control,73,73,0.7890625,0.2109375,18157.3984375,14431.0,29.66796875,0.01953125,256
control,74,74,0.62109375,0.37890625,14473.89453125,10824.5,29.5,0.12890625,256
control,75,75,0.796875,0.203125,11053.6796875,6556.5,27.56640625,0.0390625,256
control,76,76,0.56640625,0.43359375,16138.7421875,15847.0,41.91796875,0.04296875,256
control,77,77,0.73828125,0.26171875,13375.45703125,9761.5,28.3359375,0.0078125,256
control,78,78,0.81640625,0.18359375,12246.9140625,11025.0,27.5703125,0.09765625,256
control,79,79,0.53515625,0.46484375,15991.8671875,12448.0,33.49609375,0.12890625,256
control,80,80,0.49609375,0.50390625,11458.50390625,10931.5,22.7578125,0.140625,256
control,81,81,0.46875,0.53125,12933.71484375,10462.0,28.48828125,0.12890625,256
control,82,82,0.3828125,0.6171875,19204.91015625,12704.0,33.37109375,0.265625,256
control,83,83,0.5546875,0.4453125,14262.72265625,10602.5,28.37890625,0.23046875,256
control,84,84,0.43359375,0.56640625,12506.58984375,8389.5,25.75,0.21484375,256
control,85,85,0.75390625,0.24609375,11410.34765625,8598.5,23.50390625,0.0859375,256
control,86,86,0.58984375,0.41015625,11338.54296875,6509.5,23.25390625,0.25,256
control,87,87,0.43359375,0.56640625,10999.0234375,9038.5,26.00390625,0.1875,256
control,88,88,0.765625,0.234375,10966.4765625,7280.0,22.3046875,0.05859375,256
control,89,89,0.49609375,0.50390625,17992.03125,14611.0,29.22265625,0.16796875,256
control,90,90,0.49609375,0.50390625,16620.93359375,14315.0,32.5234375,0.17578125,256
control,91,91,0.546875,0.453125,18178.8203125,16530.5,29.9609375,0.2109375,256
control,92,92,0.609375,0.390625,23542.86328125,21541.5,37.96484375,0.10546875,256
control,93,93,0.83203125,0.16796875,14471.05078125,12648.5,27.91796875,0.03125,256
control,94,94,0.7109375,0.2890625,11988.77734375,7012.0,21.5390625,0.078125,256
control,95,95,0.54296875,0.45703125,13592.38671875,11230.5,26.296875,0.03515625,256
control,96,96,0.8359375,0.1640625,16156.53125,14395.5,32.46875,0.01171875,256
control,97,97,0.734375,0.265625,11821.19140625,10136.5,24.35546875,0.00390625,256
control,98,98,0.68359375,0.31640625,11682.93359375,10153.5,27.33203125,0.046875,256
control,99,99,0.80078125,0.19921875,15625.06640625,14035.5,30.85546875,0.01171875,256
control,100,100,0.5546875,0.4453125,17765.90625,16373.5,37.2421875,0.08203125,256
control,101,101,0.54296875,0.45703125,16597.40625,13571.0,33.22265625,0.02734375,256
control,102,102,0.88671875,0.11328125,13354.50390625,9983.5,23.29296875,0.046875,256
control,103,103,0.80859375,0.19140625,14437.96484375,8126.0,24.625,0.06640625,256
control,104,104,0.69921875,0.30078125,13864.44140625,9806.5,26.2578125,0.0703125,256
control,105,105,0.4609375,0.5390625,21038.89453125,20507.5,37.73828125,0.109375,256
control,106,106,0.546875,0.453125,12248.66796875,9127.0,25.3359375,0.06640625,256
control,107,107,0.83203125,0.16796875,11329.37109375,7997.5,24.5390625,0.03125,256
control,108,108,0.65234375,0.34765625,15544.48828125,13935.0,28.484375,0.046875,256
control,109,109,0.63671875,0.36328125,11645.4140625,7217.5,24.44140625,0.05078125,256
control,110,110,0.71875,0.28125,16424.5234375,14458.0,27.09765625,0.01953125,256
control,111,111,0.7109375,0.2890625,16627.73046875,12378.5,27.7734375,0.04296875,256
control,112,112,0.55859375,0.44140625,17036.05859375,14101.5,30.7734375,0.09765625,256
control,113,113,0.64453125,0.35546875,15910.11328125,10780.0,26.00390625,0.14453125,256
control,114,114,0.73828125,0.26171875,10649.5703125,8868.5,20.19921875,0.1328125,256
control,115,115,0.6484375,0.3515625,13966.6640625,9692.0,29.1640625,0.15625,256
control,116,116,0.625,0.375,13226.9609375,9673.5,29.984375,0.0703125,256
control,117,117,0.75390625,0.24609375,13576.26171875,9664.0,22.83203125,0.15234375,256
control,118,118,0.71484375,0.28515625,16311.16796875,12517.0,28.72265625,0.09375,256
control,119,119,0.828125,0.171875,14070.45703125,11054.0,27.25,0.078125,256
control,120,120,0.5078125,0.4921875,19048.87109375,15499.5,34.62109375,0.08984375,256
control,121,121,0.6484375,0.3515625,17370.2109375,13553.0,29.62890625,0.20703125,256
control,122,122,0.86328125,0.13671875,9137.95703125,6464.0,20.57421875,0.08203125,256
control,123,123,0.46875,0.53125,16437.66796875,10584.0,26.1796875,0.19140625,256
control,124,124,0.73828125,0.26171875,8593.85546875,5508.0,16.5859375,0.046875,256
control,125,125,0.8046875,0.1953125,10726.09375,8271.0,22.05078125,0.01953125,256
