run,run_id,step_key,training_step,val/avg_group_performance_post_filter,val/avg_group_performance_pre_filter,scores,val/sequence_lengths,tools/aggregate/avg_calls_per_rollout,tools/aggregate/failure_rate,debug/dppo_mask_frac_kept,debug/vllm_vs_local_logprob_diff_mean,debug/vllm_local_reverse_kl,debug/vllm_vs_local_logprob_diff_max,debug/vllm_vs_local_logprob_diff_std
production-dppo,cfb5az1a,training_step,1,0.3802083432674408,0.3802083432674408,0.5703125,12913.5,29.44140625,0.0006633939337916672,0.9999705754703702,0.008355643571121618,0.0001679740460076573,0.4599391594529152,0.021699771983549
production-dppo,cfb5az1a,training_step,2,0.3173076808452606,0.3173076808452606,0.515625,9284.3359375,19.5078125,0.007408890873193741,0.9999693575142106,0.006327288703687373,3.736379434826631e-05,0.5171417221426964,0.02007465361384675
production-dppo,cfb5az1a,training_step,3,0.33906251192092896,0.33906251192092896,0.72265625,8689.15234375,25.94921875,0.000602137588430196,0.9999763768942378,0.0067366329894866794,9.828477840301275e-05,0.3574821949005127,0.01897849456872791
production-dppo,cfb5az1a,training_step,4,0.3671875,0.3671875,0.609375,10651.16796875,25.72265625,0.0004555808554869145,0.9999414009560949,0.00734332567662932,4.917049045616295e-05,0.4623435027897358,0.02160249906592071
production-dppo,cfb5az1a,training_step,5,0.5286458134651184,0.5286458134651184,0.54296875,12362.3671875,22.6328125,0.0017259233864024282,0.9998796719101214,0.007402884133625776,1.991737647166758e-05,0.38191672042012215,0.019601081148721278
production-dppo,cfb5az1a,training_step,6,0.45588234066963196,0.45588234066963196,0.71875,13097.4765625,29.01171875,0.0008078631944954395,0.9999250215573531,0.005821042635943741,0.00011570338418209758,0.46348923444747925,0.018639306304976344
production-dppo,cfb5az1a,training_step,7,0.24835526943206787,0.24835526943206787,0.58984375,16210.04296875,33.60546875,0.0005811926093883812,0.9994730568280764,0.009991232887841761,-1.8681888267479962e-05,0.6111463010311127,0.027060282416641712
production-dppo,cfb5az1a,training_step,8,0.2586805522441864,0.2586805522441864,0.58203125,12725.23828125,32.640625,0.00023934897035360336,0.9995407900195606,0.008048453164519742,-2.655235056181482e-05,0.652480024844408,0.02537894935812801
production-dppo,cfb5az1a,training_step,9,0.19901315867900848,0.19901315867900848,0.34765625,22298.296875,37.83984375,0.003819552017375827,0.9995202672613319,0.008232756110373884,0.00037660258885807707,0.5013670027256012,0.023962538107298315
production-dppo,cfb5az1a,training_step,10,0.453125,0.453125,0.4296875,16968.65625,39.05078125,0.0037011103704571724,0.9996563736401449,0.010871618724195287,0.0003087431771291449,0.7944237440824509,0.02972989424597472
production-dppo,cfb5az1a,training_step,11,0.4756944477558136,0.4756944477558136,0.6953125,12896.64453125,28.69921875,0.0006805498851463199,0.9998884479955672,0.00855434124241583,-8.579731314739547e-06,0.4940982386469841,0.023269290220923722
production-dppo,cfb5az1a,training_step,12,0.3014705777168274,0.3014705777168274,0.640625,16606.69921875,30.734375,0.0034316217061132193,0.9995164882267736,0.011704338219715282,0.00015253341894094774,0.4838339388370514,0.028960372204892337
production-dppo,cfb5az1a,training_step,13,0.4302884638309479,0.4302884638309479,0.69921875,9869.6875,21.55859375,0.0039862291887402534,0.9997811424531389,0.008698791149072349,-0.00018106995298694528,0.5790423452854156,0.027784799225628376
production-dppo,cfb5az1a,training_step,14,0.3920454680919647,0.3920454680919647,0.5390625,15722.953125,32.25,0.0009689922444522381,0.9990455953410518,0.01345407182816416,1.4385338758415855e-05,0.5584627315402031,0.03219408984296024
production-dppo,cfb5az1a,training_step,15,0.4749999940395355,0.4749999940395355,0.59375,8249.73046875,22.6015625,0.003283788450062275,0.9995349320804588,0.010900877852691337,-4.2275800126390095e-05,0.6568700894713402,0.03158720280043781
production-dppo,cfb5az1a,training_step,16,0.29326921701431274,0.29326921701431274,0.4765625,21404.6171875,36.89453125,0.0013763896422460675,0.999569557172704,0.009142098715528846,0.0003762222595184994,0.5979526154696941,0.027496084687300026
production-dppo,cfb5az1a,training_step,17,0.5,0.5,0.625,10375.6875,21.2734375,0.0007344839978031814,0.999482281346278,0.010463299375260249,4.8390418101007526e-05,0.5378593616187572,0.02685395546723157
production-dppo,cfb5az1a,training_step,18,0.5681818127632141,0.5681818127632141,0.6875,15827.3203125,25.0703125,0.0018697413615882397,0.9996429650906358,0.011833527911221609,0.00010175447314964003,0.5332783311605453,0.029106170986779034
production-dppo,cfb5az1a,training_step,19,0.349702388048172,0.349702388048172,0.66796875,13759.86328125,24.62890625,0.006026962772011757,0.9999328884899249,0.010002353898016736,9.586605733602482e-05,0.7781159654259682,0.028771249344572425
production-dppo,cfb5az1a,training_step,20,0.4545454680919647,0.4545454680919647,0.5,20439.5859375,34.859375,0.006275212857872248,0.9999287784372819,0.008690678863786161,0.0001194331844089902,0.523892231285572,0.023113431059755385
