step,bucket,reason,segment_chars
10,traceback_in_exit0,traceback_only_no_test_failure,437
10,traceback_in_exit0,traceback_only_no_test_failure,1107
10,traceback_in_exit0,traceback_only_no_test_failure,150
10,traceback_in_exit0,traceback_only_no_test_failure,149
10,traceback_in_exit0,traceback_only_no_test_failure,488
10,traceback_in_exit0,traceback_only_no_test_failure,1153
11,traceback_in_exit0,traceback_only_no_test_failure,145
11,traceback_in_exit0,traceback_only_no_test_failure,1452
11,traceback_in_exit0,traceback_only_no_test_failure,1097
11,traceback_in_exit0,traceback_only_no_test_failure,254
11,traceback_in_exit0,traceback_only_no_test_failure,196
11,traceback_in_exit0,traceback_only_no_test_failure,458
11,traceback_in_exit0,traceback_only_no_test_failure,420
11,traceback_in_exit0,traceback_only_no_test_failure,1362
11,traceback_in_exit0,traceback_only_no_test_failure,250
11,traceback_in_exit0,traceback_only_no_test_failure,265
11,traceback_in_exit0,traceback_only_no_test_failure,261
11,traceback_in_exit0,traceback_only_no_test_failure,286
11,traceback_in_exit0,traceback_only_no_test_failure,276
11,traceback_in_exit0,traceback_only_no_test_failure,345
11,traceback_in_exit0,traceback_only_no_test_failure,357
11,traceback_in_exit0,traceback_only_no_test_failure,292
11,traceback_in_exit0,traceback_only_no_test_failure,167
11,traceback_in_exit0,traceback_only_no_test_failure,123
11,traceback_in_exit0,traceback_only_no_test_failure,602
11,traceback_in_exit0,traceback_only_no_test_failure,134
11,traceback_in_exit0,traceback_only_no_test_failure,1248
11,traceback_in_exit0,traceback_only_no_test_failure,269
12,traceback_in_exit0,traceback_only_no_test_failure,547
12,traceback_in_exit0,traceback_only_no_test_failure,982
12,traceback_in_exit0,traceback_only_no_test_failure,445
12,traceback_in_exit0,traceback_only_no_test_failure,470
12,traceback_in_exit0,traceback_only_no_test_failure,122
12,traceback_in_exit0,traceback_only_no_test_failure,257
12,traceback_in_exit0,traceback_only_no_test_failure,636
12,traceback_in_exit0,traceback_only_no_test_failure,828
12,traceback_in_exit0,traceback_only_no_test_failure,889
12,traceback_in_exit0,traceback_only_no_test_failure,164
12,traceback_in_exit0,traceback_only_no_test_failure,600
12,traceback_in_exit0,traceback_only_no_test_failure,883
12,traceback_in_exit0,traceback_only_no_test_failure,845
12,traceback_in_exit0,traceback_only_no_test_failure,479
12,traceback_in_exit0,traceback_only_no_test_failure,179
12,traceback_in_exit0,traceback_only_no_test_failure,461
12,traceback_in_exit0,traceback_only_no_test_failure,681
12,traceback_in_exit0,traceback_only_no_test_failure,1212
12,traceback_in_exit0,traceback_only_no_test_failure,302
12,traceback_in_exit0,traceback_only_no_test_failure,153
12,traceback_in_exit0,traceback_only_no_test_failure,1735
12,traceback_in_exit0,traceback_only_no_test_failure,122
12,traceback_in_exit0,traceback_only_no_test_failure,368
12,traceback_in_exit0,traceback_only_no_test_failure,10542
12,traceback_in_exit0,traceback_only_no_test_failure,107
12,traceback_in_exit0,traceback_only_no_test_failure,279
12,traceback_in_exit0,traceback_only_no_test_failure,360
12,tests_failed_in_exit0,unexplained_exit0_with_test_failure,119
12,tests_failed_in_exit0,unexplained_exit0_with_test_failure,10542
12,traceback_in_exit0,traceback_only_no_test_failure,192
12,traceback_in_exit0,traceback_only_no_test_failure,439
12,traceback_in_exit0,traceback_only_no_test_failure,592
12,traceback_in_exit0,traceback_only_no_test_failure,439
