overlay,series_or_arm,window,metric,n,mean,median
rollout,control,Q1_steps1_50,reward_mean,50,0.635625,0.617188
rollout,control,Q1_steps1_50,zero_fraction,50,0.364375,0.382812
rollout,control,Q1_steps1_50,resp_len_mean,50,14270.891484,14068.955078
rollout,control,Q1_steps1_50,resp_len_median,50,10751.7,9846.75
rollout,control,Q1_steps1_50,tool_calls_mean,50,28.806875,29.361328
rollout,control,Q1_steps1_50,timeout_fraction,50,0.114375,0.099609
rollout,control,Q2_steps51_100,reward_mean,50,0.613047,0.59375
rollout,control,Q2_steps51_100,zero_fraction,50,0.386953,0.40625
rollout,control,Q2_steps51_100,resp_len_mean,50,14837.996953,14472.472656
rollout,control,Q2_steps51_100,resp_len_median,50,11973.53,11422.0
rollout,control,Q2_steps51_100,tool_calls_mean,50,28.689062,28.433594
rollout,control,Q2_steps51_100,timeout_fraction,50,0.129609,0.121094
rollout,control,Q3_steps101_150,reward_mean,50,0.656406,0.648438
rollout,control,Q3_steps101_150,zero_fraction,50,0.343594,0.351562
rollout,control,Q3_steps101_150,resp_len_mean,50,13926.004219,13849.107422
rollout,control,Q3_steps101_150,resp_len_median,50,10599.03,9998.0
rollout,control,Q3_steps101_150,tool_calls_mean,50,26.693359,26.677734
rollout,control,Q3_steps101_150,timeout_fraction,50,0.090547,0.070312
rollout,control,Q4_steps151_200,reward_mean,50,0.6125,0.638672
rollout,control,Q4_steps151_200,zero_fraction,50,0.3875,0.361328
rollout,control,Q4_steps151_200,resp_len_mean,50,15228.740547,14659.921875
rollout,control,Q4_steps151_200,resp_len_median,50,12458.49,11793.25
rollout,control,Q4_steps151_200,tool_calls_mean,50,27.44375,26.738281
rollout,control,Q4_steps151_200,timeout_fraction,50,0.102109,0.101562
rollout,control,first_half_steps1_100,reward_mean,100,0.624336,0.605469
rollout,control,first_half_steps1_100,zero_fraction,100,0.375664,0.394531
rollout,control,first_half_steps1_100,resp_len_mean,100,14554.444219,14304.574219
rollout,control,first_half_steps1_100,resp_len_median,100,11362.615,10878.0
rollout,control,first_half_steps1_100,tool_calls_mean,100,28.747969,28.955078
rollout,control,first_half_steps1_100,timeout_fraction,100,0.121992,0.113281
rollout,control,second_half_steps101_200,reward_mean,100,0.634453,0.648438
rollout,control,second_half_steps101_200,zero_fraction,100,0.365547,0.351562
rollout,control,second_half_steps101_200,resp_len_mean,100,14577.372383,14245.466797
rollout,control,second_half_steps101_200,resp_len_median,100,11528.76,10961.5
rollout,control,second_half_steps101_200,tool_calls_mean,100,27.068555,26.738281
rollout,control,second_half_steps101_200,timeout_fraction,100,0.096328,0.085938
rollout,control,all_steps1_200,reward_mean,200,0.629395,0.625
rollout,control,all_steps1_200,zero_fraction,200,0.370605,0.375
rollout,control,all_steps1_200,resp_len_mean,200,14565.908301,14298.339844
rollout,control,all_steps1_200,resp_len_median,200,11445.6875,10946.25
rollout,control,all_steps1_200,tool_calls_mean,200,27.908262,27.894531
rollout,control,all_steps1_200,timeout_fraction,200,0.10916,0.099609
rollout,production,Q1_steps1_50,reward_mean,50,0.623047,0.619141
rollout,production,Q1_steps1_50,zero_fraction,50,0.376953,0.380859
rollout,production,Q1_steps1_50,resp_len_mean,50,14451.805625,14212.101562
rollout,production,Q1_steps1_50,resp_len_median,50,11306.98,10394.0
rollout,production,Q1_steps1_50,tool_calls_mean,50,27.799688,27.619141
rollout,production,Q1_steps1_50,timeout_fraction,50,0.12875,0.119141
rollout,production,Q2_steps51_100,reward_mean,50,0.635234,0.65625
rollout,production,Q2_steps51_100,zero_fraction,50,0.364766,0.34375
rollout,production,Q2_steps51_100,resp_len_mean,50,14453.453672,14259.091797
rollout,production,Q2_steps51_100,resp_len_median,50,12086.43,11793.0
rollout,production,Q2_steps51_100,tool_calls_mean,50,25.054453,25.236328
rollout,production,Q2_steps51_100,timeout_fraction,50,0.110234,0.105469
rollout,production,Q3_steps101_150,reward_mean,50,0.660469,0.654297
rollout,production,Q3_steps101_150,zero_fraction,50,0.339531,0.345703
rollout,production,Q3_steps101_150,resp_len_mean,50,17270.575313,17001.880859
rollout,production,Q3_steps101_150,resp_len_median,50,15227.98,15167.75
rollout,production,Q3_steps101_150,tool_calls_mean,50,24.605313,24.535156
rollout,production,Q3_steps101_150,timeout_fraction,50,0.088594,0.070312
rollout,production,Q4_steps151_200,reward_mean,50,0.64,0.626953
rollout,production,Q4_steps151_200,zero_fraction,50,0.36,0.373047
rollout,production,Q4_steps151_200,resp_len_mean,50,19159.045703,19294.142578
rollout,production,Q4_steps151_200,resp_len_median,50,17495.33,17948.5
rollout,production,Q4_steps151_200,tool_calls_mean,50,25.407031,24.996094
rollout,production,Q4_steps151_200,timeout_fraction,50,0.112187,0.097656
rollout,production,first_half_steps1_100,reward_mean,100,0.629141,0.648438
rollout,production,first_half_steps1_100,zero_fraction,100,0.370859,0.351562
rollout,production,first_half_steps1_100,resp_len_mean,100,14452.629648,14236.695312
rollout,production,first_half_steps1_100,resp_len_median,100,11696.705,11200.25
rollout,production,first_half_steps1_100,tool_calls_mean,100,26.42707,25.804688
rollout,production,first_half_steps1_100,timeout_fraction,100,0.119492,0.111328
rollout,production,second_half_steps101_200,reward_mean,100,0.650234,0.644531
rollout,production,second_half_steps101_200,zero_fraction,100,0.349766,0.355469
rollout,production,second_half_steps101_200,resp_len_mean,100,18214.810508,18442.828125
rollout,production,second_half_steps101_200,resp_len_median,100,16361.655,16439.75
rollout,production,second_half_steps101_200,tool_calls_mean,100,25.006172,24.822266
rollout,production,second_half_steps101_200,timeout_fraction,100,0.100391,0.082031
rollout,production,all_steps1_200,reward_mean,200,0.639687,0.646484
rollout,production,all_steps1_200,zero_fraction,200,0.360312,0.353516
rollout,production,all_steps1_200,resp_len_mean,200,16333.720078,16336.306641
rollout,production,all_steps1_200,resp_len_median,200,14029.18,13845.75
rollout,production,all_steps1_200,tool_calls_mean,200,25.716621,25.314453
rollout,production,all_steps1_200,timeout_fraction,200,0.109941,0.097656
trainer,production-dppo,Q1_steps1_50,val/avg_group_performance_post_filter,50,0.445188,0.451322
trainer,production-dppo,Q1_steps1_50,val/avg_group_performance_pre_filter,50,0.445188,0.451322
trainer,production-dppo,Q1_steps1_50,scores,50,0.623047,0.619141
trainer,production-dppo,Q1_steps1_50,val/sequence_lengths,50,14451.805625,14212.101562
trainer,production-dppo,Q1_steps1_50,tools/aggregate/avg_calls_per_rollout,50,27.799688,27.619141
trainer,production-dppo,Q1_steps1_50,tools/aggregate/failure_rate,50,0.00245,0.001985
trainer,production-dppo,Q1_steps1_50,debug/dppo_mask_frac_kept,50,0.999831,0.999914
trainer,production-dppo,Q1_steps1_50,debug/vllm_vs_local_logprob_diff_mean,50,0.009476,0.009457
trainer,production-dppo,Q1_steps1_50,debug/vllm_local_reverse_kl,50,-1.8e-05,-1.2e-05
trainer,production-dppo,Q1_steps1_50,debug/vllm_vs_local_logprob_diff_max,50,0.547411,0.519972
trainer,production-dppo,Q1_steps1_50,debug/vllm_vs_local_logprob_diff_std,50,0.025841,0.025731
