global_step,acceptance_step,val/avg_group_performance_post_filter,val/avg_group_performance_pre_filter,scores,objective/verifiable_reward,objective/passthrough_reward,val/sequence_lengths,val/sequence_lengths_max,val/sequence_lengths_min,val/sequence_lengths_solved,val/sequence_lengths_unsolved,tools/aggregate/avg_calls_per_rollout,tools/bash/avg_calls_per_rollout,tools/aggregate/failure_rate,tools/aggregate/avg_runtime,tools/bash/failure_rate,tools/bash/avg_runtime,batch/filtered_prompts,batch/filtered_prompts_zero,batch/filtered_prompts_solved,batch/filtered_prompts_nonzero,batch/total_prompts,batch/no_resampled_prompts,val/total_reward_groups,debug/dppo_mask_frac_kept,debug/vllm_local_reverse_kl,debug/vllm_vs_local_logprob_diff_max,debug/vllm_vs_local_logprob_diff_mean,debug/vllm_vs_local_logprob_diff_std
29,29,0.45432692766189575,0.45432692766189575,0.61328125,0,0,19361.61328125,63621,1405,12859.9111328125,29672.39453125,25.5859375,25.5859375,0.0025954197626560926,0.2931297719478607,0.0025954197626560926,0.2931297719478607,5,4,1,0,8,0,8,0.9999219965982642,0.0002037967567503074,0.4619077406823635,0.006849811543361284,0.020823019207455218
30,30,0.515625,0.515625,0.64453125,0,0,14646.79296875,55485,1,12035.5458984375,19381.47265625,23.796875,23.796875,0.00131319765932858,0.15758371353149414,0.00131319765932858,0.15758371353149414,2,2,0,0,8,0,8,0.9999189226563956,0.00017242959859231632,0.5229988470673561,0.008175712486263365,0.021987395244650543
31,31,0.3166666626930237,0.3166666626930237,0.59375,0,0,12668.20703125,54860,1,13710.5126953125,11144.8369140625,23.24609375,23.24609375,0.006049403455108404,0.6251050233840942,0.006049403455108404,0.6251050233840942,7,7,0,0,8,0,8,0.999902319957655,0.0002566348259733786,0.46335842460393906,0.01035381609108299,0.026875769370235503
32,32,0.34062498807907104,0.34062498807907104,0.42578125,0,0,19798.0546875,65536,1,12462.9169921875,25237.033203125,32.328125,32.328125,0.0014499758835881948,0.15949733555316925,0.0014499758835881948,0.15949733555316925,2,2,0,0,8,0,8,0.9999013146482546,0.00018182129491606247,0.7506644651293755,0.0091712593275588,0.02704743342474103
33,33,0.3776041567325592,0.3776041567325592,0.56640625,0,0,10307.109375,50751,1,9457.689453125,11416.7119140625,20.828125,20.828125,0.00487621920183301,0.5626406669616699,0.00487621920183301,0.5626406669616699,4,4,0,0,8,0,8,0.999850204382275,0.00014402197439267184,0.5624584257602692,0.011149026569910347,0.02921953657642007
34,34,0.7272727489471436,0.7272727489471436,0.75,0,0,11163.27734375,41324,1,12238.2080078125,7938.484375,19.30859375,19.30859375,0.0006069188821129501,0.07283026725053787,0.0006069188821129501,0.07283026725053787,3,1,2,0,8,0,8,0.9999407713379764,2.8706063432082374e-05,0.5670228134840727,0.00790976855205372,0.023496450623497367
35,35,0.5520833134651184,0.5520833134651184,0.703125,0,0,14442.38671875,46747,2314,11694.244140625,20951.14453125,31.07421875,31.07421875,0.0018856065580621362,0.1961030811071396,0.0018856065580621362,0.1961030811071396,4,3,1,0,8,0,8,0.9998908825998466,2.6451456051290734e-05,0.5490031875669956,0.010944607784040272,0.025367646012455225
36,36,0.5397727489471436,0.5397727489471436,0.7421875,0,0,12757.16015625,59162,197,11459.5419921875,16492.7265625,27.12890625,27.12890625,0.0004319654544815421,0.05183585360646248,0.0004319654544815421,0.05183585360646248,3,3,0,0,8,0,8,0.999843735894507,3.034439384563825e-05,0.8342818506062031,0.009577835036907345,0.028597916825674474
37,37,0.578125,0.578125,0.59765625,0,0,8849.984375,39169,1980,8182.66650390625,9841.2431640625,20.07421875,20.07421875,0.009145747870206833,0.9573847055435181,0.009145747870206833,0.9573847055435181,2,1,1,0,8,0,8,0.9998284950597953,0.00014960320208956546,2.952865391969681,0.011996246117632836,0.04960745433345437
38,38,0.6051136255264282,0.6051136255264282,0.70703125,0,0,15780.6875,52438,264,12250.7177734375,24299.6796875,26.6875,26.6875,0.002195550361648202,0.24590164422988892,0.002195550361648202,0.24590164422988892,3,2,1,0,8,0,8,0.9999176611801872,-9.837805293955171e-05,1.0047741122543812,0.009813065349590033,0.031573961256071925
39,39,0.4107142984867096,0.4107142984867096,0.453125,0,0,20614.8984375,65536,2897,20555.28515625,20664.29296875,35.6015625,35.6015625,0.0070221638306975365,0.6978275179862976,0.0070221638306975365,0.6978275179862976,13,8,5,0,8,0,8,0.9999216889585014,-2.3112505800781946e-05,0.6905771493911743,0.009235048259142786,0.0267340725986287
40,40,0.706250011920929,0.706250011920929,0.8828125,0,0,11281.421875,53783,1,11921.3671875,6460.5,17.953125,17.953125,0.0008703219937160611,0.10443864017724991,0.0008703219937160611,0.10443864017724991,2,2,0,0,8,0,8,0.9999507113409183,3.1076877178293216e-06,0.4164889454841614,0.007005319959716871,0.02098926540929824
41,41,0.5390625,0.5390625,0.703125,0,0,13350.26171875,61636,1,14483.1884765625,10667.0126953125,24.296875,24.296875,0.000803858507424593,0.09646302461624146,0.000803858507424593,0.09646302461624146,8,5,3,0,8,0,8,0.999905788424378,-8.775556270279594e-05,0.6906494535505772,0.007903278354206122,0.025098467827774584
42,42,0.3579545319080353,0.3579545319080353,0.4921875,0,0,19271.62890625,63547,1,12025.8173828125,26294.4921875,36.16796875,36.16796875,0.001728048431687057,0.1555243581533432,0.001728048431687057,0.1555243581533432,3,3,0,0,8,0,8,0.9998912931322179,-0.0002758114642347209,0.5318344011902809,0.009778963139979169,0.02493590349331498
43,43,0.543749988079071,0.543749988079071,0.64453125,0,0,16107.8984375,65536,432,13740.58203125,20400.28515625,25.10546875,25.10546875,0.0004667807661462575,0.056013692170381546,0.0004667807661462575,0.056013692170381546,7,4,3,0,8,0,8,0.9998509343694214,-0.00041782262223932776,0.5510331839323044,0.010090267256600782,0.0280987179139629
44,44,0.48097825050354004,0.48097825050354004,0.7578125,0,0,13215.046875,56612,408,12844.2421875,14375.306640625,31.17578125,31.17578125,0.0016288685146719217,0.07517854869365692,0.0016288685146719217,0.07517854869365692,15,10,5,0,8,0,8,0.9999468374814053,-0.0003951709931016012,0.3858271837234497,0.008906625414965674,0.022256110329180956
45,45,0.78125,0.78125,0.82421875,0,0,13291.89453125,65536,890,13243.2275390625,13520.0888671875,22.90625,22.90625,0.001364256488159299,0.16371077299118042,0.001364256488159299,0.16371077299118042,3,1,2,0,8,0,8,0.9998800798917022,-0.0005877378594050242,0.5094799473881721,0.011553729185834527,0.02950061415322125
46,46,0.47585228085517883,0.47585228085517883,0.68359375,0,0,16734.5859375,65536,818,11709.9033203125,27590.3828125,26.9453125,26.9453125,0.0033342998940497637,0.2783415615558624,0.0033342998940497637,0.2783415615558624,14,9,5,0,8,0,8,0.9998486875370368,-0.0006070745939723565,0.560702845454216,0.014114434481598437,0.0328900080639869
47,47,0.544921875,0.544921875,0.71484375,0,0,16103.68359375,49059,2008,15810.8740234375,16837.712890625,30.19140625,30.19140625,0.002458274131640792,0.2639409899711609,0.002458274131640792,0.2639409899711609,8,5,3,0,8,0,8,0.9998789406205352,-0.00037153826815483626,0.46190596371889114,0.010199500131420791,0.025623604538850486
48,48,0.4908088147640228,0.4908088147640228,0.54296875,0,0,20022.49609375,48072,3018,14381.619140625,26724.05078125,30.58984375,30.58984375,0.00038309284718707204,0.04597114026546478,0.00038309284718707204,0.04597114026546478,9,5,4,0,8,0,8,0.9998694880204008,-0.00018672706028155517,0.5059195570647717,0.0074920039041899145,0.022660333663225174
49,49,0.48721590638160706,0.48721590638160706,0.83984375,0,0,12483.29296875,55504,2926,12265.599609375,13624.853515625,24.765625,24.765625,0.0023659307043999434,0.28391167521476746,0.0023659307043999434,0.28391167521476746,14,10,4,0,8,0,8,0.999925500247555,-0.0001391688718399564,0.5945258662104607,0.008154659008141607,0.025008803815580904
50,50,0.4486607015132904,0.4486607015132904,0.66015625,0,0,15152.26171875,55402,1,11299.0712890625,22637.1953125,21.625,21.625,0.003070809179916978,0.34682080149650574,0.003070809179916978,0.34682080149650574,6,5,1,0,8,0,8,0.9999385147500596,-0.0003260358590608803,0.4406046122312546,0.00824263843242079,0.02344323438592255
51,51,0.29605263471603394,0.29605263471603394,0.703125,0,0,12476.31640625,59653,1,12375.35546875,12715.4345703125,22.890625,22.890625,0.0010238907998427749,0.12286689132452011,0.0010238907998427749,0.12286689132452011,11,11,0,0,8,0,8,0.9999142309127612,-0.0003782810435950523,0.48088766634464264,0.00764097087085247,0.02179692848585546
52,52,0.4017857015132904,0.4017857015132904,0.703125,0,0,11021.26171875,43285,1,11808.7392578125,9156.1845703125,17.6015625,17.6015625,0.003328894730657339,0.3994673788547516,0.003328894730657339,0.3994673788547516,6,6,0,0,8,0,8,0.9999187183608529,-0.0005132658034199267,0.5825452096760273,0.009558996796840802,0.026096682297065854
53,53,0.5,0.5,0.6875,0,0,12459.6015625,48894,1,12843.05078125,11616.0126953125,25.484375,25.484375,0.00045984057942405343,0.0551808699965477,0.00045984057942405343,0.0551808699965477,3,3,0,0,8,0,8,0.9999219755180282,-0.0009396321647727746,0.5734341368079185,0.011776442144764587,0.029667720082215965
54,54,0.4312500059604645,0.4312500059604645,0.68359375,0,0,14094.265625,46809,1,13706.708984375,14931.580078125,24.14453125,24.14453125,0.00032357222517021,0.038828667253255844,0.00032357222517021,0.038828667253255844,7,6,1,0,8,0,8,0.9998895788704021,-0.0010616049439704511,0.4791550114750862,0.010132334631634876,0.027827304089441895
55,55,0.46875,0.46875,0.6953125,0,0,12371.15625,58921,1,9512.2978515625,18895.21875,25.046875,25.046875,0.0032751092221587896,0.37429818511009216,0.0032751092221587896,0.37429818511009216,6,5,1,0,8,0,8,0.9998751344653892,-0.000844522224724642,0.47390107810497284,0.011641505174338818,0.027121876599267125
56,56,0.3947368562221527,0.3947368562221527,0.5625,0,0,17526.484375,59034,1610,17311.201171875,17803.27734375,31.05859375,31.05859375,0.00440196180716157,0.4980505704879761,0.00440196180716157,0.4980505704879761,11,8,3,0,8,0,8,0.9998987122096392,-0.0006779373047720583,0.5650324299931526,0.010228275903500617,0.027807596954517066
57,57,0.4548611044883728,0.4548611044883728,0.3984375,0,0,17379.71484375,60069,2936,16847.568359375,17732.17578125,26.92578125,26.92578125,0.003917017485946417,0.40040621161460876,0.003917017485946417,0.40040621161460876,10,5,5,0,8,0,8,0.9999129383830563,-0.0006113312435900298,0.5317996293306351,0.009805174078792334,0.026968381251208484
58,58,0.2953124940395355,0.2953124940395355,0.48828125,0,0,18503.45703125,54819,1,17560.96875,19402.779296875,31.44140625,31.44140625,0.0022363027092069387,0.25344762206077576,0.0022363027092069387,0.25344762206077576,12,10,2,0,8,0,8,0.9999086106074297,-0.0005491986696597451,0.4333406537771225,0.010221382515737787,0.02678388322237879
59,59,0.6015625,0.6015625,0.77734375,0,0,13329.23046875,37328,1,13563.9248046875,12509.859375,22.08984375,22.08984375,0.003536693286150694,0.42440319061279297,0.003536693286150694,0.42440319061279297,4,3,1,0,8,0,8,0.999873413931263,-0.0011095697482232936,0.5622219406068325,0.012912538077216595,0.03178201976697892
60,60,0.5369318127632141,0.5369318127632141,0.73828125,0,0,13948.16015625,50505,1,11375.0634765625,21206.59765625,25.78515625,25.78515625,0,0,0,0,3,3,0,0,8,0,8,0.9997884763908904,-0.0006302726009721482,0.5450432784855366,0.011703473195666447,0.028053750284016132
61,61,0.390625,0.390625,0.68359375,0,0,12781.6328125,43991,1,11411.1484375,15742.5556640625,20.00390625,20.00390625,0.0013669205363839865,0.16403046250343323,0.0013669205363839865,0.16403046250343323,6,6,0,0,8,0,8,0.9996783031420604,-0.0010176052928727586,0.6676716580986977,0.00961802274105139,0.031069859862327576
62,62,0.5669642686843872,0.5669642686843872,0.7421875,0,0,10101.2265625,24932,1,9733.7265625,11159.181640625,24.875,24.875,0.00015703517419751734,0.01884422078728676,0.00015703517419751734,0.01884422078728676,6,4,2,0,8,0,8,0.9996397930388717,-0.0017008178183459677,0.7280673384666443,0.015358115662820637,0.03859220491722226
63,63,0.36298078298568726,0.36298078298568726,0.33984375,0,0,17457.8515625,51016,1,16688.654296875,17853.828125,33.8203125,33.8203125,0.005890505854040384,0.7068607211112976,0.005890505854040384,0.7068607211112976,5,3,2,0,8,0,8,0.9997062092698659,-0.0015219570959743578,0.5631729140877724,0.01315310160862282,0.033033483661711216
64,64,0.3511904776096344,0.3511904776096344,0.546875,0,0,11249.1171875,33120,630,8515.078125,14548.8193359375,22.42578125,22.42578125,0.0022644137497991323,0.2508273720741272,0.0022644137497991323,0.2508273720741272,13,10,3,0,8,0,8,0.9996859724345242,-0.001781188196673611,0.715503491461277,0.017252737219678238,0.0409605645108968
65,65,0.5874999761581421,0.5874999761581421,0.609375,0,0,11649.1015625,42265,1,9576.2626953125,14882.73046875,23.07421875,23.07421875,0.0023700695019215345,0.26409345865249634,0.0023700695019215345,0.26409345865249634,2,1,1,0,8,0,8,0.9997877179615665,-0.0010592783487481938,0.5925015360116959,0.01311993840499781,0.03267429943662137
66,66,0.4114583432674408,0.4114583432674408,0.6171875,0,0,15000.72265625,59751,1,17917.455078125,10298.234375,24.3359375,24.3359375,0.0016051364364102483,0.19261637330055237,0.0016051364364102483,0.19261637330055237,4,4,0,0,8,0,8,0.9998463462807724,-0.00012892323138657957,0.6201462410390377,0.009813706914428622,0.02781782578676939
67,67,0.6442307829856873,0.6442307829856873,0.671875,0,0,13613.53125,58754,1,10801.1220703125,19372.2734375,20.4375,20.4375,0.0030581040773540735,0.3669724762439728,0.0030581040773540735,0.3669724762439728,5,2,3,0,8,0,8,0.9997750691127226,-6.133408809549934e-05,0.4589189998805523,0.006657164281932637,0.021914130949880928
68,68,0.4889705777168274,0.4889705777168274,0.6640625,0,0,11845.73046875,42582,1,9152.576171875,17169.40625,25.58203125,25.58203125,0.0012215605238452554,0.10994044691324234,0.0012215605238452554,0.10994044691324234,9,6,3,0,8,0,8,0.9998302862128579,0.00041012751944435877,0.5925930384546518,0.009500421685515903,0.02747628139331937
69,69,0.4575892984867096,0.4575892984867096,0.67578125,0,0,15939.68359375,61764,1,16531.30078125,14706.5546875,23.50390625,23.50390625,0.002659132471308112,0.3190959095954895,0.002659132471308112,0.3190959095954895,6,5,1,0,8,0,8,0.9998338690935632,0.0006055870462660096,0.6163720767945051,0.010811937565449625,0.02904465328902006
70,70,0.8159722089767456,0.8159722089767456,0.79296875,0,0,11464.69921875,39463,1,11142.2314453125,12699.8115234375,22.91015625,22.91015625,0.0011935208458453417,0.06138107553124428,0.0011935208458453417,0.06138107553124428,1,0,1,0,8,0,8,0.9996488820932521,0.00020518634720900764,0.6458135433495045,0.008193771442165598,0.02644647448323667
71,71,0.5121527910232544,0.5121527910232544,0.77734375,0,0,14276.5859375,58211,2250,14735.341796875,12674.96484375,20.8984375,20.8984375,0,0,0,0,10,7,3,0,8,0,8,0.999842743135981,3.81332823664593e-05,0.5646175071597099,0.007649952283827588,0.02343695517629385
72,72,0.41911765933036804,0.41911765933036804,0.765625,0,0,12019.0234375,46463,3811,10763.3876953125,16120.7666015625,23,23,0.0008491847547702491,0.10190217196941376,0.0008491847547702491,0.10190217196941376,9,8,1,0,8,0,8,0.9998637103675266,7.332163569628847e-05,0.5333300530910492,0.010145672364160419,0.02704728941898793
73,73,0.3819444477558136,0.3819444477558136,0.484375,0,0,18826.21484375,44161,2656,16832.048828125,20699.5234375,35.7578125,35.7578125,0.0016386279603466392,0.19663535058498383,0.0016386279603466392,0.19663535058498383,10,7,3,0,8,0,8,0.9997957651698306,0.0002896600547046546,0.8472848832607269,0.011566396744456142,0.03230252000503242
74,74,0.7276785969734192,0.7276785969734192,0.7734375,0,0,12242.5546875,39194,1761,11392.095703125,15145.8447265625,27.96875,27.96875,0.0015363128622993827,0.10055866092443466,0.0015363128622993827,0.10055866092443466,6,2,4,0,8,0,8,0.9999192111788799,0.00022457051045421395,0.4457381144165993,0.010440914978971705,0.02718347846530378
75,75,0.5142045617103577,0.5142045617103577,0.6640625,0,0,15462.375,48713,2416,11981.3232421875,22343.5234375,30.12109375,30.12109375,0.0003890545922331512,0.046686552464962006,0.0003890545922331512,0.046686552464962006,14,8,6,0,8,0,8,0.9998915809081612,-0.00036263701713323826,0.6055131778120995,0.009343163546873257,0.027487669023685157
76,76,0.6049107313156128,0.6049107313156128,0.68359375,0,0,19046.78125,61740,3412,15160.400390625,27443.283203125,35.65625,35.65625,0.0026292726397514343,0.30236634612083435,0.0026292726397514343,0.30236634612083435,6,3,3,0,8,0,8,0.9998462580159397,-0.0002474135953889345,0.41712720692157745,0.008401542261708528,0.023531710961833596
77,77,0.536057710647583,0.536057710647583,0.62109375,0,0,13119.22265625,44758,1775,11711.1630859375,15427.2783203125,24.16796875,24.16796875,0.004687247332185507,0.5430741906166077,0.004687247332185507,0.5430741906166077,5,3,2,0,8,0,8,0.9998415020181703,-0.00016947669064393267,0.5418637059628963,0.009228684677509591,0.027149475179612637
