global_step,acceptance_step,scope,prompt_idx,n_samples,reward_mean,reward_std,reward_min,reward_max,n_zero,degenerate
10,10,group,5,32,0.59375,0.491132,0.0,1.0,13,0
10,10,group,6,32,0.90625,0.291481,0.0,1.0,3,0
10,10,group,7,32,0.96875,0.173993,0.0,1.0,1,0
10,10,step,,256,0.6875,0.463512,0.0,1.0,80,0
11,11,group,0,32,0.9375,0.242061,0.0,1.0,2,0
11,11,group,1,32,0.0625,0.242061,0.0,1.0,30,0
11,11,group,2,32,0.84375,0.363092,0.0,1.0,5,0
11,11,group,3,32,0.96875,0.173993,0.0,1.0,1,0
11,11,group,4,32,0.71875,0.449609,0.0,1.0,9,0
11,11,group,5,32,0.03125,0.173993,0.0,1.0,31,0
11,11,group,6,32,0.96875,0.173993,0.0,1.0,1,0
11,11,group,7,32,0.75,0.433013,0.0,1.0,8,0
11,11,step,,256,0.660156,0.473656,0.0,1.0,87,0
12,12,group,0,32,0.9375,0.242061,0.0,1.0,2,0
12,12,group,1,32,0.4375,0.496078,0.0,1.0,18,0
12,12,group,2,32,0.125,0.330719,0.0,1.0,28,0
12,12,group,3,32,0.0625,0.242061,0.0,1.0,30,0
12,12,group,4,32,0.84375,0.363092,0.0,1.0,5,0
12,12,group,5,32,0.09375,0.291481,0.0,1.0,29,0
12,12,group,6,32,0.65625,0.474959,0.0,1.0,11,0
12,12,group,7,32,0.03125,0.173993,0.0,1.0,31,0
12,12,step,,256,0.398438,0.489576,0.0,1.0,154,0
13,13,group,0,32,0.96875,0.173993,0.0,1.0,1,0
13,13,group,1,32,0.84375,0.363092,0.0,1.0,5,0
13,13,group,2,32,0.875,0.330719,0.0,1.0,4,0
13,13,group,3,32,0.4375,0.496078,0.0,1.0,18,0
13,13,group,4,32,0.75,0.433013,0.0,1.0,8,0
13,13,group,5,32,0.875,0.330719,0.0,1.0,4,0
13,13,group,6,32,0.46875,0.499022,0.0,1.0,17,0
13,13,group,7,32,0.84375,0.363092,0.0,1.0,5,0
13,13,step,,256,0.757812,0.428407,0.0,1.0,62,0
14,14,group,0,32,0.03125,0.173993,0.0,1.0,31,0
14,14,group,1,32,0.96875,0.173993,0.0,1.0,1,0
14,14,group,2,32,0.53125,0.499022,0.0,1.0,15,0
14,14,group,3,32,0.125,0.330719,0.0,1.0,28,0
14,14,group,4,32,0.875,0.330719,0.0,1.0,4,0
14,14,group,5,32,0.1875,0.390312,0.0,1.0,26,0
14,14,group,6,32,0.03125,0.173993,0.0,1.0,31,0
14,14,group,7,32,0.75,0.433013,0.0,1.0,8,0
14,14,step,,256,0.4375,0.496078,0.0,1.0,144,0
15,15,group,0,32,0.8125,0.390312,0.0,1.0,6,0
15,15,group,1,32,0.84375,0.363092,0.0,1.0,5,0
15,15,group,2,32,0.84375,0.363092,0.0,1.0,5,0
15,15,group,3,32,0.5625,0.496078,0.0,1.0,14,0
15,15,group,4,32,0.1875,0.390312,0.0,1.0,26,0
15,15,group,5,32,0.65625,0.474959,0.0,1.0,11,0
15,15,group,6,32,0.96875,0.173993,0.0,1.0,1,0
15,15,group,7,32,0.4375,0.496078,0.0,1.0,18,0
