model_name,step,pass@1,pass@5,mean_reward,mean_reward_std,errors,error_rate,agent_timeout_err,infra_err,pass1_infra_adj,n_trials,dataset,k,max_model_len,workspace,beaker_url,status,train_grp_perf,train_grp_perf_w5,train_scores,train_scores_w5,train_kl2,train_seq_len,wandb_url,train_beaker_url
sft-tmax-qwen35-9b-1ep,,0.1056,0.2247,0.1056,0.0196,29,0.065,3,26,0.1122,445,terminal-bench-2-1,5,32768,ai2/oe-agents,https://beaker.org/ex/01KY5RJ068FPW34JWDC1XKBK10,done,,,,,,9215,https://wandb.ai/ai2-llm/oe-general-agents/6z2csa17,https://beaker.org/ex/01KY5FB3PM305JBJ0NEH76E998
sft-tmax-qwen35-9b-2ep,,0.1416,0.2584,0.1416,0.0115,42,0.094,12,30,0.1518,445,terminal-bench-2-1,5,32768,ai2/oe-agents,https://beaker.org/ex/01KY5RJ828EERGRRFW1JRGB1BS,done,,,,,,9215,https://wandb.ai/ai2-llm/oe-general-agents/6z2csa17,https://beaker.org/ex/01KY5FB3PM305JBJ0NEH76E998
sft-tmax-qwen3-8b-1ep,,0.0360,0.0899,0.0360,0.0131,65,0.146,40,25,0.0381,445,terminal-bench-2-1,5,32768,ai2/oe-agents,https://beaker.org/ex/01KY69WHCVPQTEQSB0NX8F1NJC,done,,,,,,8953,https://wandb.ai/ai2-llm/oe-general-agents/v6f0duse,https://beaker.org/ex/01KY5QW2NTQNNNNHSX1JPN13NP
sft-tmax-qwen3-8b-2ep,,0.0584,0.1348,0.0584,0.0084,71,0.160,35,36,0.0635,445,terminal-bench-2-1,5,32768,ai2/oe-agents,https://beaker.org/ex/01KY69WR9XWZ0HYV8TV4HX04NB,done,,,,,,8953,https://wandb.ai/ai2-llm/oe-general-agents/v6f0duse,https://beaker.org/ex/01KY5QW2NTQNNNNHSX1JPN13NP
allenai/tmax-sft-8b,,0.0584,0.1461,0.0584,0.0240,63,0.142,32,31,0.0628,445,terminal-bench-2-1,5,32768,ai2/oe-agents,https://beaker.org/ex/01KY6AJYYZY0GFEKTVR0022W2N,done,,,,,,,,
hamishivi/Qwen3-8B,,0.0225,0.0899,0.0225,0.0100,34,0.076,22,12,0.0231,445,terminal-bench-2-1,5,32768,ai2/oe-agents,https://beaker.org/ex/01KY8XP1RJYX75BA127SZZF7FS,done,,,,,,,,
sft-tmax-qwen35-9b-big-1ep,,0.0944,0.2022,0.0944,0.0196,31,0.070,15,16,0.0979,445,terminal-bench-2-1,5,32768,ai2/oe-agents,https://beaker.org/ex/01KYAQ5YX84PRTF22PFK97CJPZ,done,,,,,,12611,https://wandb.ai/ai2-llm/oe-general-agents/of6i30vx,https://beaker.org/ex/01KY6QQ75GWW4PTHQB4Z048V1S
sft-tmax-qwen35-9b-big-2ep,,,,,,,,,,,,terminal-bench-2-1,5,32768,ai2/oe-agents,https://beaker.org/ex/01KYJH6QFV9SN7DJBN2BR8YY5R,no-score,,,,,,12611,https://wandb.ai/ai2-llm/oe-general-agents/of6i30vx,https://beaker.org/ex/01KY6QQ75GWW4PTHQB4Z048V1S
